10,3707,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3707,2002,80,2350,-2.1,12.5,0.4,0.19,1.13,0.48,1.82,0.4,1.62,0.44,262,6,242,4,-2.9,0.3
10,3707,2002,80,2400,-2.1,12.5,0.65,0.4,1.61,0.4,2.14,0.4,1.93,0.42,256,6,240,4,-3.4,0.2
10,3707,2002,81,10,-2.5,12.5,0.85,0.52,1.69,0.45,2.37,0.44,2.18,0.45,259,6,241,3,-4,0.1
10,3707,2002,81,20,-2.5,12.5,0.5,0.32,1.31,0.5,1.99,0.45,1.74,0.48,257,3,236,3,-4,0.1
10,3707,2002,81,30,-2.5,12.5,0.35,0.03,1.03,0.44,1.56,0.38,1.18,0.42,250,7,231,2,-4,0
10,3707,2002,81,40,-2.9,12.5,0.35,0,0.56,0.38,1.2,0.64,0.9,0.59,255,1,240,3,-4,0
10,3707,2002,81,50,-2.9,12.5,0.55,0.37,1.51,0.54,2.08,0.52,1.81,0.54,256,5,237,3,-4,0.1
10,3707,2002,81,100,-2.9,12.5,1.42,0.48,2.3,0.44,2.9,0.48,2.71,0.48,253,6,237,3,-4,0.1
10,3707,2002,81,110,-2.9,12.5,1.37,0.56,2.09,0.45,2.62,0.44,2.41,0.44,251,8,233,4,-4,0.2
10,3707,2002,81,120,-3.4,12.5,1.65,0.5,2.26,0.44,2.77,0.44,2.53,0.45,243,5,231,3,-3.8,0.1
10,3707,2002,81,130,-3.4,12.5,0.94,0.62,1.9,0.62,2.58,0.56,2.33,0.59,245,9,233,4,-4,0.1
10,3707,2002,81,140,-3.4,12.5,0.71,0.54,1.4,0.73,2.08,0.64,1.8,0.7,267,13,242,3,-3.8,0.1
10,3707,2002,81,150,-3.4,12.5,0.57,0.37,1.38,0.54,1.96,0.5,1.69,0.56,266,12,242,5,-3.6,0.1
10,3707,2002,81,200,-3.4,12.5,1.2,0.52,1.97,0.54,2.67,0.64,2.43,0.7,269,5,244,2,-3.2,0.1
10,3707,2002,81,210,-3.4,12.5,1.62,0.4,2.08,0.35,2.42,0.38,2.26,0.4,272,5,250,2,-3.4,0.1
10,3707,2002,81,220,-3.4,12.5,1.6,0.44,2.18,0.4,2.58,0.48,2.41,0.48,270,4,251,3,-2.9,0.1
10,3707,2002,81,230,-3.4,12.5,1.4,0.48,2.04,0.4,2.42,0.4,2.23,0.44,269,4,252,4,-2.5,0.1
10,3707,2002,81,240,-3.4,12.5,0.77,0.4,1.63,0.38,2,0.37,1.76,0.37,284,6,257,4,-2.5,0.1
10,3707,2002,81,250,-3.4,12.5,0.75,0.38,1.42,0.38,1.69,0.37,1.36,0.4,292,3,264,2,-2.7,0
10,3707,2002,81,300,-2.9,12.5,0.58,0.37,1.43,0.38,1.73,0.48,1.31,0.59,293,3,261,2,-2.7,0.1
10,3707,2002,81,310,-2.9,12.5,0.6,0.37,1.51,0.38,1.89,0.4,1.58,0.42,294,4,257,3,-2.7,0.1
10,3707,2002,81,320,-2.9,12.5,0.36,0.09,1.4,0.4,1.86,0.34,1.51,0.4,289,8,248,5,-2.9,0.1
10,3707,2002,81,330,-2.9,12.5,0.35,0,1.02,0.44,1.53,0.42,1.03,0.48,278,6,241,5,-3.2,0.1
10,3707,2002,81,340,-2.9,12.5,0.37,0.12,1.18,0.44,1.81,0.37,1.47,0.42,268,7,240,4,-3.2,0.1
10,3707,2002,81,350,-2.9,12.5,0.47,0.31,1.51,0.7,2.26,0.62,1.92,0.67,259,11,233,3,-3.4,0.1
10,3707,2002,81,400,-2.9,12.5,0.77,0.48,1.96,0.32,2.46,0.37,2.17,0.4,253,6,230,2,-3.4,0
10,3707,2002,81,410,-2.9,12.5,0.38,0.15,1.59,0.38,2.19,0.4,1.92,0.4,260,8,230,3,-3.4,0.1
10,3707,2002,81,420,-2.9,12.5,0.53,0.34,1.65,0.4,2.19,0.42,1.91,0.35,256,6,232,3,-3.4,0.1
10,3707,2002,81,430,-2.9,12.5,1.2,0.44,2.13,0.38,2.59,0.44,2.31,0.42,247,5,228,2,-3.4,0
10,3707,2002,81,440,-2.9,12.5,1.59,0.5,2.5,0.45,3.09,0.48,2.91,0.48,252,6,232,4,-3.4,0.1
10,3707,2002,81,450,-2.9,12.4,1.96,0.38,2.53,0.38,2.99,0.44,2.8,0.42,249,4,231,3,-2.9,0.1
10,3707,2002,81,500,-2.9,12.4,1.95,0.38,2.73,0.4,3.43,0.45,3.26,0.44,242,3,228,2,-2.9,0.1
10,3707,2002,81,510,-2.9,12.4,1.57,0.38,2.5,0.4,3.23,0.42,3.05,0.44,244,3,232,3,-3.2,0.1
10,3707,2002,81,520,-2.9,12.4,0.93,0.48,1.91,0.48,2.64,0.5,2.41,0.54,251,4,233,3,-3.2,0.1
10,3707,2002,81,530,-2.9,12.4,0.39,0.18,1.53,0.48,2.15,0.5,1.8,0.54,257,4,233,2,-3.4,0.1
10,3707,2002,81,540,-2.9,12.5,0.35,0,1.34,0.42,1.97,0.42,1.62,0.45,258,7,233,2,-3.4,0
10,3707,2002,81,550,-2.9,12.5,0.61,0.38,1.78,0.29,2.17,0.38,1.82,0.35,250,5,230,2,-3.4,0.1
10,3707,2002,81,600,-2.9,12.5,0.59,0.37,1.91,0.32,2.55,0.38,2.24,0.45,248,8,230,4,-3.4,0.1
10,3707,2002,81,610,-2.9,12.5,1.06,0.37,1.89,0.4,2.45,0.45,2.12,0.54,245,4,226,2,-3.2,0.1
10,3707,2002,81,620,-2.9,12.5,0.44,0.26,1.65,0.37,2.31,0.38,1.92,0.37,242,5,224,1,-2.9,0.1
10,3707,2002,81,630,-2.9,12.5,0.35,0,1.45,0.44,2.09,0.35,1.65,0.37,252,10,224,1,-2.9,0.1
10,3707,2002,81,640,-2.9,12.5,0.35,0,0.87,0.52,1.84,0.45,1.31,0.56,269,8,228,3,-2.9,0.1
10,3707,2002,81,650,-2.9,12.5,0.35,0,0.57,0.4,1.3,0.4,0.51,0.32,269,5,227,3,-2.7,0.1
10,3707,2002,81,700,-2.9,12.5,0.46,0.35,1.24,0.83,2.15,0.8,1.69,0.91,255,11,223,4,-2.2,0.1
10,3707,2002,81,710,-2.9,12.6,1.66,0.67,2.57,0.54,3.23,0.5,3,0.54,240,6,231,2,-1.8,0.2
10,3707,2002,81,720,-2.5,12.7,0.61,0.45,1.82,0.42,2.42,0.44,2.12,0.42,248,5,233,2,-1.3,0.2
10,3707,2002,81,730,-2.5,12.8,0.45,0.28,1.41,0.64,1.68,0.64,1.2,0.62,235,8,213,8,-0.4,0.2
10,3707,2002,81,740,-2.1,13,0.35,0,0.39,0.18,0.45,0.27,0.35,0,255,76,222,4,0.3,0.3
10,3707,2002,81,750,-1.6,12.9,0.36,0.07,0.76,0.52,1.08,0.64,0.71,0.54,335,49,338,51,0.8,0.4
10,3707,2002,81,800,-1.2,12.9,0.38,0.15,0.87,0.48,1.12,0.5,0.53,0.38,19,14,28,16,0.3,0.1
10,3707,2002,81,810,-0.8,12.9,0.39,0.18,0.84,0.48,0.91,0.52,0.41,0.22,18,27,53,11,0.8,0.3
10,3707,2002,81,820,0.1,12.9,0.35,0.03,0.7,0.4,0.83,0.45,0.36,0.1,343,19,8,16,1,0.2
10,3707,2002,81,830,0.5,12.8,0.35,0,0.37,0.12,0.47,0.29,0.35,0,358,13,6,10,0.8,0.1
10,3707,2002,81,840,0.9,12.8,0.36,0.1,0.79,0.45,0.91,0.48,0.4,0.22,22,8,14,2,0.8,0
10,3707,2002,81,850,1.4,12.8,0.44,0.28,0.94,0.54,1.22,0.52,0.57,0.42,18,12,18,8,0.5,0.1
10,3707,2002,81,900,1.8,12.8,0.69,0.45,1.24,0.52,1.4,0.42,0.67,0.44,21,5,15,3,0.5,0.1
10,3707,2002,81,910,1.8,12.9,0.75,0.56,1.32,0.56,1.46,0.45,0.73,0.52,16,9,4,9,0.8,0
10,3707,2002,81,920,2.2,13,0.35,0.05,0.7,0.44,0.81,0.48,0.36,0.06,3,12,11,7,1.2,0.2
10,3707,2002,81,930,2.2,13,0.61,0.5,1.09,0.73,1.12,0.67,0.62,0.52,26,22,16,11,1.7,0.1
10,3707,2002,81,940,2.7,13,0.39,0.19,0.5,0.31,0.5,0.34,0.35,0,29,26,15,36,2.2,0.2
10,3707,2002,81,950,3.1,12.9,0.88,0.7,1.37,0.73,1.37,0.67,0.72,0.62,2,23,357,17,2.2,0.1
10,3707,2002,81,1000,4,13,0.78,0.52,1.26,0.56,1.26,0.54,0.58,0.44,37,23,38,23,2.4,0.1
10,3707,2002,81,1010,4,12.9,0.96,0.67,1.28,0.73,1.35,0.64,0.78,0.56,14,22,6,13,2.2,0.1
10,3707,2002,81,1020,4.4,12.9,1.22,0.83,1.62,0.73,1.69,0.67,1.06,0.73,66,12,65,13,2.7,0.2
10,3707,2002,81,1030,4.8,12.9,2.01,1.08,2.3,0.91,2.32,0.83,1.92,0.99,80,30,84,23,3.2,0.1
10,3707,2002,81,1040,5.3,12.9,3.23,0.7,3.35,0.62,3.38,0.62,3.19,0.62,100,10,94,10,3.2,0.1
10,3707,2002,81,1050,5.3,12.9,3.26,0.76,3.46,0.73,3.51,0.7,3.33,0.7,102,11,100,12,3.2,0.2
10,3707,2002,81,1100,5.7,13,3.05,0.67,2.74,0.67,2.79,0.67,2.72,0.67,129,11,127,11,3.4,0.1
10,3707,2002,81,1110,5.7,13,2.42,0.91,2.56,0.76,2.59,0.83,2.43,0.91,149,20,147,20,3.2,0.1
10,3707,2002,81,1120,6.1,13,3.23,0.62,3.26,0.62,3.37,0.56,3.2,0.5,113,15,113,13,3.2,0.2
10,3707,2002,81,1130,6.1,13,2.83,0.91,2.91,0.87,3.02,0.83,2.79,0.87,115,13,112,15,3.6,0.2
10,3707,2002,81,1140,6.5,13,3.11,0.76,3.18,0.76,3.11,0.8,2.91,0.87,122,10,118,13,3.6,0.1
10,3707,2002,81,1150,6.5,13,2.63,0.76,2.62,0.83,2.68,0.87,2.44,0.95,113,15,113,18,3.6,0.2
10,3707,2002,81,1200,7,13.1,2.34,1.04,2.62,0.99,2.68,0.99,2.36,1.04,91,18,94,22,4.1,0.1
