10,3702,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3702,2002,33,610,-0.8,12.8,0.58,0.37,0.35,0,0.39,0.18,0.37,0.12,36,8,176,0,0.1,0.1
10,3702,2002,33,620,-1.2,12.8,0.65,0.38,0.38,0.15,0.79,0.42,0.75,0.4,12,2,94,66,0.1,0.1
10,3702,2002,33,630,-1.2,12.8,0.36,0.1,0.35,0,0.65,0.4,0.58,0.37,11,0,35,0,-0.2,0.1
10,3702,2002,33,640,-1.2,12.8,0.35,0,0.35,0,0.45,0.26,0.4,0.2,11,0,35,0,-0.4,0.1
10,3702,2002,33,650,-1.2,12.8,0.44,0.26,0.35,0,1.13,0.45,1.04,0.5,11,0,31,4,-0.6,0.1
10,3702,2002,33,700,-1.2,12.8,0.6,0.37,0.35,0,1.22,0.38,1.18,0.4,11,0,19,6,-0.6,0.1
10,3702,2002,33,710,-1.2,12.8,0.35,0,0.35,0,0.43,0.24,0.35,0,11,0,13,0,-0.6,0.1
10,3702,2002,33,720,-1.2,12.8,0.35,0,0.35,0,0.35,0,0.35,0,62,38,13,0,-0.9,0.1
10,3702,2002,33,730,-1.6,12.8,0.35,0,0.35,0,0.35,0,0.35,0,92,0,13,0,-1.1,0.1
10,3702,2002,33,740,-1.6,12.9,0.35,0,0.35,0,0.35,0,0.35,0,92,0,13,0,-0.6,0.1
10,3702,2002,33,750,-1.6,13.1,0.35,0,0.35,0,0.36,0.1,0.35,0.03,92,0,13,0,-0.2,0.1
